no;extract;ninsect
1;Leaf;19
2;Leaf;20
3;Leaf;36
4;Leaf;32
5;Leaf;18
6;Leaf;47
7;Leaf;38
8;Leaf;31
9;Leaf;32
10;Leaf;40
11;Branch;20
12;Branch;34
13;Branch;41
14;Branch;29
15;Branch;31
16;Branch;15
17;Branch;31
18;Branch;33
19;Branch;45
20;Branch;20
21;Seed;4
22;Seed;0
23;Seed;1
24;Seed;1
25;Seed;1
26;Seed;0
27;Seed;2
28;Seed;0
29;Seed;2
30;Seed;0
31;Control;35
32;Control;26
33;Control;41
34;Control;34
35;Control;23
36;Control;29
37;Control;39
38;Control;34
39;Control;16
40;Control;38
